,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,997705.2384701156
2,2021-10-05,1000396.7595292893
3,2021-10-06,1000766.8932143745
4,2021-10-07,1010262.3080091057
5,2021-10-08,1011146.9817217713
6,2021-10-11,1001944.6259760666
7,2021-10-12,993756.0596995087
8,2021-10-13,989875.3397433014
9,2021-10-14,1003074.7725829163
10,2021-10-15,1010026.4623560334
11,2021-10-18,1001262.5581783219
12,2021-10-19,1009040.8816914215
13,2021-10-20,1015756.3630274544
14,2021-10-21,1012440.3874407158
15,2021-10-22,1012784.9448292542
16,2021-10-25,1014569.6898438721
17,2021-10-26,1014670.5189148292
18,2021-10-27,1003512.9941408882
19,2021-10-28,1011356.4713442574
20,2021-10-29,1013567.437843586
21,2021-11-01,1020133.3474772224
22,2021-11-02,1021340.5548327217
23,2021-11-03,1028020.1389134942
24,2021-11-04,1028316.9189271431
25,2021-11-05,1032052.9089784126
26,2021-11-08,1034181.0880212288
27,2021-11-09,1029524.9213342171
28,2021-11-10,1027883.5135049324
29,2021-11-11,1016768.1168565254
30,2021-11-12,1017557.0893487434
31,2021-11-15,1018636.3861398201
32,2021-11-16,1012780.0715913277
33,2021-11-17,1007066.3753938179
34,2021-11-18,1006311.9493951302
35,2021-11-19,992812.900865406
36,2021-11-22,989120.0828341446
37,2021-11-23,996595.3796451645
38,2021-11-24,1000527.7271831589
39,2021-11-26,975109.0523255692
40,2021-11-29,978318.4741413079
41,2021-11-30,966821.2519695244
42,2021-12-01,957667.982664566
43,2021-12-02,972643.0305046844
44,2021-12-03,973483.1448464203
45,2021-12-06,996597.9708275604
46,2021-12-07,1007634.2285706787
47,2021-12-08,1015768.0590136604
48,2021-12-09,1018374.8049709854
49,2021-12-10,1023224.0574165002
50,2021-12-13,1016309.5920615807
51,2021-12-14,1017812.5363441125
52,2021-12-15,1033937.5938888207
53,2021-12-16,1032381.4683280602
54,2021-12-17,1026002.4735274926
55,2021-12-20,1018456.9997649804
56,2021-12-21,1034057.6732723274
57,2021-12-22,1042260.7474796333
58,2021-12-23,1046684.7825176277
59,2021-12-27,1053527.911168293
