,a2c,ddpg,td3,ppo,sac,mean var,dji
2021-10-26,1014670.5189148292,1036320.0168444555,1050454.8445071331,1009710.0664818264,1026971.5319453357,1000730.0887620504,1041671.0004376635
2021-10-27,1003512.9941408882,1024867.2545916479,1054048.7824267498,1003692.1040737721,1028924.5203448413,999659.8668242682,1033916.4142458431
2021-10-28,1011356.4713442574,1034987.0137469213,1063012.133005058,1005430.6960796886,1036938.9749652026,1008427.4868721245,1040901.9599721152
2021-10-29,1013567.437843586,1036551.0779864233,1069895.6157092205,1006645.5939390255,1040189.8162432788,1009035.0290658963,1043496.9879058771
2021-11-01,1020133.3474772224,1039820.9465166967,1068998.7756899945,1013453.1450558926,1043425.2962695239,1001619.8608202941,1046243.5935105638
2021-11-02,1021340.5548327217,1041950.7959887426,1075982.980585014,1011065.955250633,1046787.4057360766,1003433.6870536667,1050286.8027057296
2021-11-03,1028020.1389134942,1043366.2225481909,1079027.4292468182,1014114.5530494496,1053521.2453890918,1011832.3201604219,1053344.1880546326
2021-11-04,1028316.9189271431,1040500.0534350317,1085146.407022392,1014884.5867653347,1053572.2469912646,1016421.3241816697,1052372.7026367004
2021-11-05,1032052.9089784126,1054100.8420855443,1086132.8296298138,1029808.8731093098,1057666.305352318,1013758.6161260447,1058307.4464010203
2021-11-08,1034181.0880212288,1063473.3499438206,1090042.7861270062,1033313.5723865697,1057288.685647118,1013066.3695639266,1061345.0310631809
2021-11-09,1029524.9213342171,1058013.6939227025,1089579.9050006024,1028399.9913685032,1056573.6320010303,1017192.96506008,1058075.300418523
2021-11-10,1027883.5135049324,1052230.8613116185,1078543.5023821942,1027377.8548646122,1053606.6277743457,1003271.4404081944,1051082.471681035
2021-11-11,1016768.1168565254,1043775.4156176489,1077519.7539157025,1022646.2023751179,1048844.3449793933,1001525.4871910507,1046458.8975296255
2021-11-12,1017557.0893487434,1046326.7566668432,1086619.5771426312,1027581.6176880872,1054384.544705498,1009998.8946167176,1051675.8095010067
2021-11-15,1018636.3861398201,1046738.2238299291,1084909.8051623455,1035465.9705531232,1057525.9457713244,1003771.6295873252,1051301.1896116037
2021-11-16,1012780.0715913277,1039739.8025652807,1093853.9612902752,1029182.8502539784,1062112.7068263171,1017289.6119637365,1052896.7380530736
2021-11-17,1007066.3753938179,1035234.4902331274,1092279.8430499188,1025338.0253156201,1061236.8556452869,1021469.8339829878,1046744.9833139386
2021-11-18,1006311.9493951302,1030196.1033923071,1091757.371248161,1023502.3115038297,1064515.8212405322,1036488.4245013238,1044994.1018988858
2021-11-19,992812.900865406,1013456.9620043676,1090978.5102481,1006074.038699104,1053969.6894312976,1038431.0341405722,1037158.4922072919
2021-11-22,989120.0828341446,1013679.1120592993,1088363.2388705364,1000062.7076262471,1052575.0040484546,1039447.7172978749,1037661.58896642
2021-11-23,996595.3796451645,1022124.9857623022,1085384.450632011,1008039.7380009114,1057819.0847598193,1043491.9861243056,1043329.2510538177
2021-11-24,1000527.7271831589,1023665.3932330053,1084319.2360095135,1012966.4986319119,1058392.4746562121,1048699.7582694117,1043054.7725686292
2021-11-26,975109.0523255692,997145.9996172827,1056919.8481463543,980002.5253185498,1032192.7607585071,1024628.8125571557,1016689.1339976199
2021-11-29,978318.4741413079,1001802.7449786108,1068388.2937716595,984848.4778121372,1039544.351708443,1039630.1356660703,1023581.821330893
2021-11-30,966821.2519695244,983523.0443560522,1045704.7649478071,967901.3000611684,1020025.1828394245,1034713.9153878698,1004581.241648719
2021-12-01,957667.982664566,975274.4475695532,1028419.8343218915,958291.0355179898,1015304.3532287066,1023247.9362310173,991131.5682803923
2021-12-02,972643.0305046844,995426.5834948461,1042645.6416110151,982833.4382127186,1031429.2013342173,1029243.350195146,1009127.8889941637
2021-12-03,973483.1448464203,998833.5377489965,1039704.2543505781,982954.0385988423,1031094.7545099223,1030303.8555627754,1007388.3872841356
2021-12-06,996597.9708275604,1020595.3429552953,1052733.4855136028,1008544.9217870327,1051591.81048679,1047727.9111608204,1026235.4547455304
2021-12-07,1007634.2285706787,1030573.902296726,1067708.6056079022,1022567.6450726925,1060547.3842653888,1061773.0529951844,1040580.0281169752
2021-12-08,1015768.0590136604,1035407.7633959692,1064841.2514590374,1027464.7909233739,1061833.86547419,1064388.2023895367,1041608.9810452805
2021-12-09,1018374.8049709854,1038462.9391467016,1063518.7905596844,1029303.1443481023,1063133.1140322345,1067741.369711961,1041607.2740895269
2021-12-10,1023224.0574165002,1041617.0601336401,1076836.015375053,1031398.4192034565,1072289.9882158893,1084199.1024225433,1047908.4443556322
2021-12-13,1016309.5920615807,1034512.207274143,1067287.2411212078,1021429.9050445821,1062269.620791878,1072887.8847846405,1038585.0520291493
2021-12-14,1017812.5363441125,1036631.2991778295,1053307.9539050213,1021914.4086808773,1059238.4818148273,1067928.4703348456,1035474.6372548327
2021-12-15,1033937.5938888207,1048535.3983446996,1064813.546235954,1033090.7722356106,1073403.0190615314,1088123.081257258,1046639.4934483625
2021-12-16,1032381.4683280602,1052858.6981646458,1055392.0151309124,1034542.8355836942,1070757.9049105304,1065864.586299313,1045771.6771432024
2021-12-17,1026002.4735274926,1038280.8610979955,1041118.5771578901,1022963.7957737729,1057470.1635317462,1047605.5174447636,1030267.6256268226
2021-12-20,1018456.9997649804,1023616.7529436987,1028089.2286242597,1012095.393385017,1049040.882876839,1042291.6491958196,1017645.256813769
2021-12-21,1034057.6732723274,1039047.1535479467,1044487.9643649213,1029869.2391683881,1061550.1974672931,1055362.1497015457,1033974.9059296683
2021-12-22,1042260.7474796333,1048475.6549059789,1053805.7104586712,1037992.6904149052,1070223.6258425373,1066297.8596929424,1041583.9456942269
2021-12-23,1046684.7825176277,1057052.2001177708,1060945.1380633465,1043851.1605405232,1076357.639140572,1068740.0044496867,1047313.2857828566
2021-12-27,1053527.911168293,1062857.1425616185,1075591.6814440838,1049574.2663538167,1087462.65617701,1085309.4228077538,1057562.5309101238
2021-12-28,1059453.0985538522,1069434.7347247044,1076033.4151324383,1054130.6159783131,1092268.0508684772,1087943.4668239844,1060354.3139437574
2021-12-29,1061377.4483081857,1071913.0146166722,1080370.2256487957,1055520.7524102323,1096342.9773363727,1093308.000672219,1062988.374265753
2021-12-30,1059509.9369442025,1070335.095076267,1076830.3511218182,1052819.4356128918,1092357.3954958576,1090389.8880468148,1060350.4448440492
2021-12-31,1056074.0351192513,1067570.2078692357,1076796.9031237713,1049864.4651068798,1092398.3446917194,1092937.3192127175,1058609.0085841666
2022-01-03,1067147.2457515756,1073679.0318285862,1074703.694635307,1060353.4451375348,1093045.1770357746,1094979.8756901454,1065797.568248074
2022-01-04,1065484.1520931283,1083006.0422503392,1077795.3357791058,1067683.50422599,1096987.87593409,1085178.661437946,1072049.0092032226
2022-01-05,1061795.5880519906,1085641.778593723,1058421.7761782757,1062823.1947039105,1091214.8566088337,1069204.249975769,1060613.543624213
2022-01-06,1052049.2272312203,1077256.2153307835,1055517.0962771527,1057865.0499898335,1083561.6319384235,1053326.2405829942,1055642.4332813583
2022-01-07,1052189.873959736,1083324.2163988987,1054313.5263918987,1058768.1275260425,1082008.904262032,1039368.5290289305,1055502.3491125081
2022-01-10,1051971.3703357736,1078314.1770007054,1047118.185853874,1052233.9083539883,1075803.2985186237,1035407.171456637,1050759.9708406439
2022-01-11,1058416.4036991159,1082647.548338596,1049606.212854301,1058285.3897604635,1078101.3087191242,1041929.3573335416,1056095.4593383793
2022-01-12,1060020.047131733,1086723.8843371312,1056557.4834307781,1059443.5003402173,1082455.5168718952,1047407.1299541563,1057211.239416021
2022-01-13,1059157.1772586862,1089171.3927752415,1044010.0641345136,1060481.4535341565,1079481.575015511,1036626.7783136789,1052063.629848238
2022-01-14,1059775.2822315255,1089950.2981097142,1040188.4217700117,1057436.438761787,1075423.6507982868,1027561.5745705343,1046184.4190444371
2022-01-18,1051492.2944627572,1083180.409529392,1024645.138109123,1049251.2407285688,1063684.2300905841,1010651.8566808891,1030355.8183407617
2022-01-19,1042444.9422235222,1068499.4462267796,1017467.3962954633,1035311.4400615384,1055686.8439516681,1001595.0790865947,1020456.1577518436
2022-01-20,1034002.7736215325,1061320.4020983616,1004190.150583183,1027928.9869457661,1048132.1282686846,987353.1636347048,1011330.3171045842
2022-01-21,1016953.499421093,1043520.3587023657,992948.014558708,1015276.1254943653,1037916.5541720049,980848.7754349613,998220.3279312357
2022-01-24,1011919.1011259576,1044608.0369555395,1000604.2171801679,1011997.6664937512,1043738.3922838824,992653.6037314722,1001108.155675275
2022-01-25,1008410.8661815224,1049649.6774889866,995648.9133853071,1017006.5377832256,1038001.5405687945,978631.8249350921,999163.022695456
2022-01-26,999218.0365512314,1042151.0043780248,995181.7074603193,1010251.7694725643,1030847.3992418902,975037.7831797507,995386.3261919615
2022-01-27,1000122.790400261,1041744.6795489233,996306.4322833173,1006823.5661353681,1029955.1467852251,975933.4822900328,995173.4119109552
2022-01-28,1026585.1004702988,1038242.4761645239,1008660.9935702436,1029335.567380634,1043741.9399218218,1007198.7959732094,1011623.9134942136
2022-01-31,1038457.3429019394,1049535.5601794163,1019812.6891497724,1041395.982466026,1053665.8110232013,1023195.3664681086,1023462.903413388
2022-02-01,1046734.7165400925,1057711.8568255345,1023293.6225680463,1050796.6447103992,1058854.6750979084,1023331.6158898728,1031426.9899747075
2022-02-02,1054439.2726275865,1068071.3565813939,1028872.6803301923,1059379.412075214,1071826.4226183551,1032950.7345276838,1037955.1853560493
2022-02-03,1046212.3079364243,1059477.0806261937,999678.6870364301,1052778.627921127,1056234.0041994709,1022511.4353462481,1022859.8928441457
2022-02-04,1040182.9312846604,1054889.6016222874,1000366.3830966108,1048360.7285374142,1050368.427394356,1015295.3859024309,1022235.829820608
2022-02-07,1041991.2205111923,1060336.1267077366,995609.5744265668,1053348.6351827236,1049714.9549059528,1010691.6296506751,1022276.3415704949
2022-02-08,1060041.4460132066,1068153.0685107152,1003411.150445854,1077026.5414185522,1061032.3070101398,1022729.7262374202,1033103.3343218503
2022-02-09,1064686.7900416795,1078213.9481341282,1015723.6908358686,1080502.6764492185,1067156.1943392414,1031096.8218594649,1041996.6875954616
2022-02-10,1050683.5984179918,1069287.4238573948,996341.5082186811,1064730.1266993748,1049848.83195826,1009240.0375959191,1026659.5763517894
2022-02-11,1038863.1000277939,1055557.6735674778,977792.6431979291,1051124.879670902,1036153.9287829058,991495.4901572592,1011990.6813871495
2022-02-14,1032540.3857333603,1046694.4659258764,975729.4514559858,1044694.5801753805,1031158.9554018633,989758.376006641,1006983.2697852672
2022-02-15,1044182.1684024277,1060614.3094469944,990699.4945315473,1058467.5881112516,1040792.787059273,1002706.6241452297,1019296.4520128081
2022-02-16,1043921.8288791123,1062664.64707822,987718.6095294111,1058767.1414617535,1039363.9009508746,999902.9563879862,1017706.7072209007
2022-02-17,1031165.0282161179,1040958.8794543188,966670.668489372,1043722.9235159794,1023726.5938219683,989772.6769540004,999579.633696399
2022-02-18,1024496.5911281052,1032010.9390398901,960183.7063387983,1036366.8622619511,1017895.640613045,983726.8260520288,992796.1915313601
2022-02-22,1013551.5175807419,1018980.5566088598,942659.1709612958,1025118.477300575,998876.0657000201,950817.0957270525,978737.931538329
2022-02-23,1001606.1292407456,1009392.2906939428,923698.3893298261,1012491.7072666928,984380.3697695391,934193.7833254035,965195.9687622546
2022-02-24,999290.2722499314,1005487.1653429907,939938.6407488935,1008485.911155441,985219.8182482378,942453.8630740358,967878.051439453
2022-02-25,1023288.5869662705,1036204.0060717504,959103.6095446699,1036558.1317130887,1012075.5130266802,961175.5476021295,992201.0329585845
2022-02-28,1020318.6033542099,1037216.3157336157,958547.8851107709,1035076.775468971,1009807.760798897,959332.7948490693,987360.7892235103
2022-03-01,1006168.2091319504,1023227.8865801733,940816.5827349775,1011221.9225648419,995285.1196779864,958354.0836994043,969949.9543332437
2022-03-02,1018460.2796962204,1048199.8061663549,958020.626100456,1027320.0497446324,1011562.2237810747,974977.2853404682,987324.3741674323
2022-03-03,1017211.7284381333,1049999.3887926976,954397.773454582,1025607.1856631048,1006197.5277819292,974430.7657657936,984507.5557827451
2022-03-04,1014555.0543696823,1052921.7419726292,947186.8185061567,1016307.8193264882,1003904.8943819659,977695.8308167433,979267.8844013149
2022-03-07,989669.4507205429,1038010.3259264868,922750.3863238447,991400.5989056508,979769.0367388384,959423.3552360118,956037.3545645248
2022-03-08,979620.3383947335,1043961.4463793676,918028.1445788495,986411.8274507672,970087.9518999712,940452.7928700809,950655.55066734
2022-03-09,994983.2794360924,1055463.5631091038,941642.5290087812,1005091.155871658,985675.3901552813,962116.3467560408,969696.5283023505
2022-03-10,991962.6628894615,1060705.4655291478,936218.6697711103,998435.324950401,981435.2690539019,960856.1763337731,966428.5046134462
2022-03-11,988349.6619548607,1057149.4828936497,927112.3658541791,995283.4786385876,977402.4835161822,948148.3017504923,959731.6620036429
2022-03-14,989513.7884623604,1060636.464354221,925812.910097038,998406.0341777875,981299.56129023,944285.6159441066,959762.1596131083
