train/learning_rate,train/explained_variance,time/iterations,train/entropy_loss,train/policy_loss,train/n_updates,train/reward,train/std,time/fps,time/total_timesteps,time/time_elapsed,train/value_loss
0.0007,-0.04697287082672119,100,-41.12963104248047,-11.031962394714355,99,-0.056759123,0.99951171875,119,500,4,0.651839554309845
0.0007,-0.04226326942443848,200,-41.176998138427734,-40.61084747314453,199,1.3848392,1.0012744665145874,133,1000,7,2.5685083866119385
0.0007,0.0,300,-41.13816452026367,-129.03848266601562,299,-4.7931366,0.9999155402183533,137,1500,10,22.14964485168457
0.0007,-0.05265915393829346,400,-41.089351654052734,-27.57608985900879,399,2.4363158,0.9982680082321167,139,2000,14,3.8587355613708496
0.0007,0.0,500,-41.039615631103516,-36.92951202392578,499,0.94318724,0.9965388178825378,137,2500,18,27.400686264038086
0.0007,0.0,600,-41.07551574707031,12.528101921081543,599,-0.017199645,0.997958242893219,130,3000,22,0.1444014012813568
0.0007,5.960464477539063e-08,700,-41.11930465698242,1.8220226764678955,699,-0.9045752,0.9993858933448792,128,3500,27,0.045308638364076614
0.0007,0.0,800,-41.0772819519043,71.14717102050781,799,0.688312,0.9978681206703186,125,4000,31,8.411445617675781
0.0007,0.0,900,-41.0421257019043,128.16317749023438,899,5.6031494,0.9968231916427612,126,4500,35,16.78595733642578
0.0007,0.0,1000,-41.08723449707031,-301.94976806640625,999,3.658078,0.9982465505599976,126,5000,39,177.9860076904297
0.0007,-1.1920928955078125e-07,1100,-41.079776763916016,180.5279083251953,1099,-0.79876685,0.9976642727851868,127,5500,43,75.02394104003906
0.0007,-0.4850020408630371,1200,-41.0191650390625,-27.1938419342041,1199,-1.4874717,0.995940089225769,128,6000,46,1.350902795791626
0.0007,-0.17509889602661133,1300,-41.042724609375,-83.18923950195312,1299,0.33141232,0.9966960549354553,127,6500,50,5.82914400100708
0.0007,-1.1920928955078125e-07,1400,-41.00444412231445,48.76359176635742,1399,1.8099209,0.9956333041191101,127,7000,54,3.311650514602661
0.0007,0.0,1500,-41.060302734375,126.1142349243164,1499,-2.3849027,0.9972209334373474,128,7500,58,18.91341781616211
0.0007,0.0,1600,-41.11344909667969,-115.70646667480469,1599,1.642166,0.9991675019264221,128,8000,62,19.27970314025879
0.0007,1.7881393432617188e-07,1700,-41.19948959350586,852.6732177734375,1699,5.7734056,1.002142310142517,129,8500,65,775.2042236328125
0.0007,-1.3654108047485352,1800,-41.23038864135742,-49.60879135131836,1799,1.2298386,1.0033000707626343,129,9000,69,8.945405960083008
0.0007,0.11356014013290405,1900,-41.240806579589844,-105.21366119384766,1899,1.7747811,1.0035210847854614,130,9500,72,7.063604831695557
0.0007,-1.1920928955078125e-07,2000,-41.29810333251953,-15.038434028625488,1999,0.542465,1.0058727264404297,130,10000,76,0.652645468711853
0.0007,5.960464477539063e-08,2100,-41.33127975463867,-175.62026977539062,2099,4.7568345,1.006893277168274,130,10500,80,40.33897018432617
0.0007,-1.1920928955078125e-07,2200,-41.32268524169922,18.61182975769043,2199,-4.333432,1.0064905881881714,131,11000,83,6.642505645751953
0.0007,0.0,2300,-41.29114532470703,1004.9104614257812,2299,4.260477,1.0054502487182617,131,11500,87,791.7115478515625
0.0007,-0.0022530555725097656,2400,-41.300357818603516,54.71875,2399,-0.049931988,1.0059314966201782,132,12000,90,2.463660478591919
0.0007,-0.04465687274932861,2500,-41.33535385131836,15.638956069946289,2499,1.5146217,1.007153868675232,132,12500,94,0.8877325057983398
0.0007,0.0,2600,-41.2863883972168,81.29178619384766,2599,-0.13815619,1.0053819417953491,132,13000,98,8.259637832641602
0.0007,-2.384185791015625e-07,2700,-41.26408386230469,37.325931549072266,2699,-0.8417061,1.0048725605010986,131,13500,102,2.031787157058716
0.0007,-1.1920928955078125e-07,2800,-41.23017883300781,-29.158706665039062,2799,2.4737084,1.0038944482803345,131,14000,106,4.158038139343262
0.0007,0.0,2900,-41.24079132080078,544.49462890625,2899,-0.9511857,1.0039485692977905,131,14500,110,220.4265594482422
0.0007,-0.0016018152236938477,3000,-41.291114807128906,17.463619232177734,2999,-0.60242194,1.0058284997940063,131,15000,114,0.31468409299850464
0.0007,0.0,3100,-41.26899719238281,-115.69744873046875,3099,0.059725124,1.0050965547561646,131,15500,117,13.762125015258789
0.0007,1.1920928955078125e-07,3200,-41.31674575805664,220.1028594970703,3199,5.176033,1.006757378578186,132,16000,121,39.91577911376953
0.0007,0.0,3300,-41.26863479614258,-75.39976501464844,3299,-2.2038221,1.0050981044769287,132,16500,124,4.144937992095947
0.0007,0.0,3400,-41.31659698486328,-258.66180419921875,3399,3.3714795,1.0065966844558716,133,17000,127,130.60476684570312
0.0007,0.0,3500,-41.30717468261719,290.25518798828125,3499,-1.1923165,1.0063917636871338,133,17500,131,56.5330924987793
0.0007,0.0,3600,-41.317832946777344,-19.173019409179688,3599,0.15345576,1.006740689277649,133,18000,134,0.34222620725631714
0.0007,0.0,3700,-41.33570098876953,-31.232257843017578,3699,0.13127255,1.0070725679397583,134,18500,137,2.5670900344848633
0.0007,0.016111254692077637,3800,-41.4055290222168,-48.434288024902344,3799,0.21751979,1.0098352432250977,134,19000,141,8.89594841003418
0.0007,0.0,3900,-41.4223747253418,-20.262012481689453,3899,0.5933631,1.0101500749588013,134,19500,144,2.5019688606262207
0.0007,0.0,4000,-41.473052978515625,-142.26458740234375,3999,-3.3608546,1.0120799541473389,134,20000,148,14.966384887695312
0.0007,0.0,4100,-41.464683532714844,-136.97393798828125,4099,-2.2894475,1.012081503868103,134,20500,151,13.589900016784668
