Date,Scrip,Open,High,Low,Close,Volume
20240109,00DS30,2102.22649,2105.54241,2101.49783,2103.89104,2640347000
20240109,00DSES,1367.01157,1369.96566,1367.40274,1369.14474,2640347000
20240109,00DSEX,6269.5107,6277.57523,6270.83497,6276.0198,2640347000
20240109,1JANATAMF,6.1,6.1,6.1,6.1,10142
20240109,1STPRIMFMF,33,33.6,31.9,31.9,403036
20240109,AAMRANET,51.2,51.4,50.7,51,171991
20240109,AAMRATECH,30.5,30.5,30.4,30.4,43766
20240109,ABB1STMF,5.2,5.2,5.2,5.2,10000
20240109,ABBANK,9.7,9.7,9.7,9.7,381
20240109,ACFL,26.5,26.5,26.5,26.5,8
20240109,ACI,260.2,260.2,260.2,260.2,16
20240109,ACMELAB,85,85,85,85,151
20240109,ACMEPL,35.4,35.4,35.4,35.4,1
20240109,ACTIVEFINE,19.3,19.3,19.3,19.3,1
20240109,ADNTEL,117,117,115.5,116.4,40263
20240109,ADVENT,24.6,24.7,24.2,24.4,792168
20240109,AFTABAUTO,28,28.8,27.8,28.4,544900
20240109,AGNISYSL,23.5,23.6,23.3,23.4,144784
20240109,AGRANINS,38.8,38.9,37.8,37.8,41724
20240109,AIBL1STIMF,7.4,7.6,7.3,7.5,1013424
20240109,AIL,75,75.7,74.7,75,33641
20240109,ALARABANK,24.8,24.9,24,24.2,26330
20240109,ALIF,13.3,13.3,13.3,13.3,1113
20240109,ALLTEX,17.5,17.5,17.5,17.5,201
20240109,AMANFEED,33.5,33.5,33.5,33.5,3
20240109,AMBEEPHA,788,792.5,780,784.1,777
20240109,AMCL(PRAN),252,252,252,252,1812
20240109,ANLIMAYARN,33.6,36.4,33.1,35.9,563687
20240109,AOL,36.5,36.5,36.5,36.5,4
20240109,APEXFOODS,298.5,305,298.5,303.8,9518
20240109,APEXFOOT,257.5,257.5,257.5,257.5,94
20240109,APEXSPINN,117,118.4,116.2,118,17193
20240109,APEXTANRY,99.3,99.3,99.3,99.3,315
20240109,APOLOISPAT,8.2,8.2,8.2,8.2,6
20240109,ARAMIT,258.9,258.9,258.9,258.9,7
20240109,ARAMITCEM,24.5,26.8,24.5,26.8,1130596
20240109,ARGONDENIM,18.2,18.2,18.2,18.2,30
20240109,ASIAINS,50.3,50.3,49.2,49.4,36231
20240109,ASIAPACINS,50.8,52.8,50,50.8,68234
20240109,ATCSLGF,10,10.1,9.7,9.8,912753
20240109,AZIZPIPES,109.9,113,107,111,141040
20240109,BANGAS,116.3,116.3,114.7,115.1,10681
20240109,BANKASIA,20.2,20.2,20.2,20.2,1230
20240109,BATASHOE,974,975,974,975,31
20240109,BATBC,518.7,518.7,518.7,518.7,2532
20240109,BBS,21.6,21.6,21.6,21.6,295
20240109,BDAUTOCA,129,132.2,129,131,7577
20240109,BDCOM,34.7,34.8,34.4,34.5,88017
20240109,BDTHAI,33.9,33.9,31.3,31.4,4031523
20240109,BDTHAIFOOD,34.8,34.8,34.8,34.8,57
20240109,BDWELDING,22.1,22.1,22.1,22.1,7835
20240109,BEACHHATCH,46.9,47.8,46.9,47.4,323323
20240109,BEACONPHAR,245,245,245,245,104
20240109,BENGALWTL,24.5,24.8,24.4,24.6,72325
20240109,BERGERPBL,1801,1823,1801,1822.9,2493
20240109,BGIC,51.1,51.1,51,51,1692
20240109,BNICL,56.9,57,56.7,56.7,47640
20240109,BPML,63.5,63.7,62.6,63,190967
20240109,BRACBANK,35.8,35.8,35.8,35.8,23922
20240109,BSC,107,107.1,107,107,32803
20240109,BSCCL,218.9,218.9,218.9,218.9,2
20240109,BSRMLTD,90,90,90,90,1100
20240109,BSRMSTEEL,63.9,63.9,63.9,63.9,70
20240109,BXPHARMA,146.2,146.2,146.2,146.2,265
20240109,CAPITECGBF,13.3,13.3,12.7,12.9,840099
20240109,CAPMBDBLMF,9.9,9.9,9.9,9.9,7575
20240109,CAPMIBBLMF,14,14,13.2,13.2,256178
20240109,CENTRALINS,38,38,37,37.3,12751
20240109,CENTRALPHL,18.7,20.2,18.7,19.9,4064479
20240109,CITYBANK,21.4,21.4,21.4,21.4,38550
