Date,Scrip,Open,High,Low,Close,Volume
20240104,00DS30,2092.13362,2095.32801,2090.54829,2094.26194,3444586000
20240104,00DSES,1361.01262,1363.60789,1360.46132,1362.80573,3444586000
20240104,00DSEX,6236.07058,6247.12934,6233.66849,6244.16626,3444586000
20240104,1JANATAMF,6.1,6.1,6.1,6.1,154
20240104,1STPRIMFMF,30.3,32.2,30.2,31,1184110
20240104,AAMRANET,51,51,50,50.1,307938
20240104,AAMRATECH,30.4,30.5,30.4,30.4,54094
20240104,ABB1STMF,5.2,5.2,5.2,5.2,117520
20240104,ABBANK,9.7,9.7,9.7,9.7,603
20240104,ACFL,26.5,26.5,26.5,26.5,1
20240104,ACI,260.2,260.2,260.2,260.2,14
20240104,ACIFORMULA,155,155,155,155,1308
20240104,ACMELAB,85,85,85,85,94
20240104,ACMEPL,35.4,35.4,35.4,35.4,16
20240104,ACTIVEFINE,19.3,19.3,19.3,19.3,6
20240104,ADNTEL,112,117.5,112,117,85113
20240104,ADVENT,23.6,23.9,23.3,23.5,1007110
20240104,AFTABAUTO,27,27.8,27,27.2,352871
20240104,AGNISYSL,23.1,23.2,22.9,23.2,318154
20240104,AGRANINS,37.7,38.4,37.3,38.2,43769
20240104,AIBL1STIMF,7.7,7.7,7.3,7.5,564993
20240104,AIL,74,75.4,74,74.9,90173
20240104,ALARABANK,23.8,24,23.7,23.8,323189
20240104,AMBEEPHA,790,821,780.1,792.9,8578
20240104,AMCL(PRAN),252,252,252,252,278
20240104,ANLIMAYARN,34.3,35.1,33.6,34.2,293976
20240104,ANWARGALV,213.3,213.3,213.3,213.3,292
20240104,AOL,36.5,36.5,36.5,36.5,100
20240104,APEXFOODS,293.6,303.9,293.6,300.5,12788
20240104,APEXFOOT,257.5,257.5,257.5,257.5,697
20240104,APEXSPINN,117.2,118.6,116.8,117.4,24744
20240104,APEXTANRY,99.6,99.6,99.6,99.6,13
20240104,APOLOISPAT,8.2,8.2,8.2,8.2,137
20240104,ARAMIT,258.9,258.9,258.9,258.9,26
20240104,ARAMITCEM,23.9,24.5,23.9,24.3,87502
20240104,ARGONDENIM,18.2,18.2,18.2,18.2,15054
20240104,ASIAINS,49.1,49.8,48.9,49.5,174084
20240104,ASIAPACINS,51.6,51.7,49.1,50.8,129538
20240104,ATCSLGF,9.8,10.2,9.7,9.7,1514437
20240104,ATLASBANG,104.2,104.2,104.2,104.2,95
20240104,AZIZPIPES,113.3,114.4,110.4,112.5,106668
20240104,BANGAS,113.3,114.9,113,113.8,33853
20240104,BANKASIA,20.2,20.2,20.2,20.2,2005
20240104,BATASHOE,970,970,965,968.6,157
20240104,BATBC,518.7,518.7,518.7,518.7,1173
20240104,BBS,21.6,21.6,21.6,21.6,5860
20240104,BBSCABLES,49.9,49.9,49.9,49.9,145
20240104,BDAUTOCA,129,131,128.9,130.3,22383
20240104,BDCOM,34.3,34.3,33.8,34.1,260172
20240104,BDTHAI,27.9,29.4,27.5,28.6,4387502
20240104,BDTHAIFOOD,34.8,34.8,34.8,34.8,2
20240104,BDWELDING,22.1,22.1,22.1,22.1,11772
20240104,BEACHHATCH,45.5,46.8,45.4,46.3,148832
20240104,BEACONPHAR,245,245,245,245,175
20240104,BENGALWTL,24,24.3,23.9,24.2,73028
20240104,BERGERPBL,1830,1830,1782,1811.1,2715
20240104,BEXGSUKUK,85,85,85,85,64
20240104,BEXIMCO,115.6,115.6,115.6,115.6,69
20240104,BGIC,50,50.7,49.8,50.4,8929
20240104,BNICL,56.7,56.9,56.7,56.8,169691
20240104,BPML,61,61,59.9,60.2,401887
20240104,BPPL,29.3,29.3,29.3,29.3,200
20240104,BRACBANK,35.8,35.8,35.8,35.8,41169
20240104,BSC,107,107.6,107,107,204188
20240104,BSCCL,218.9,218.9,218.9,218.9,55
20240104,BSRMLTD,90,90,90,90,504
20240104,BXPHARMA,146.2,146.2,146.2,146.2,431
20240104,CAPITECGBF,12.6,12.9,12.3,12.6,1513966
20240104,CAPMBDBLMF,9.9,9.9,9.9,9.9,25416
20240104,CAPMIBBLMF,12.7,13.2,12.5,12.7,649855
20240104,CENTRALINS,38,38,36.9,37.5,29120
20240104,CENTRALPHL,19.1,19.3,18.3,18.5,3752021
20240104,CITYBANK,21.4,21.4,21.4,21.4,1938
20240104,CITYGENINS,48,48,47.9,48,3230
20240104,CLICL,54,55.3,53.8,55,55558
20240104,CNATEX,10.2,10.2,10.2,10.2,5
20240104,CONTININS,39.7,40.6,39,40.4,478161
20240104,CROWNCEMNT,75,75.4,74.6,74.9,487
20240104,CRYSTALINS,97,100.5,93,98.6,292723
20240104,CVOPRL,164.1,169,164.1,167.5,53226
20240104,DACCADYE,13.3,13.4,13.2,13.3,542781
20240104,DAFODILCOM,79.2,82,79.2,80.9,26435
20240104,DBH,56.7,56.7,56.7,56.7,5
20240104,DBH1STMF,6.9,7,6.9,6.9,1128060
20240104,DELTALIFE,136.5,136.5,136.5,136.5,105
20240104,DELTASPINN,8.5,8.5,8.5,8.5,1218
20240104,DESHBANDHU,38,38.2,36.5,36.8,967425
20240104,DGIC,34.6,35.2,33.8,34.9,401978
20240104,DHAKABANK,12.5,12.5,12.5,12.5,200
20240104,DHAKAINS,51.6,52.6,51.2,52.4,28017
20240104,DOMINAGE,16.2,16.4,16.2,16.2,677979
20240104,DSHGARME,111.4,111.4,111.4,111.4,50
20240104,DUTCHBANGL,59.1,59.1,59.1,59.1,1125
20240104,EASTERNINS,72.5,73.4,69.9,72.8,414005
20240104,EASTLAND,24.6,25.2,24.6,25.2,369695
20240104,EASTRNLUB,1546.8,1556.9,1545.9,1551.8,1593
20240104,EBL,29.5,29.5,29.4,29.4,31783
20240104,EBLNRBMF,6.5,6.5,6.5,6.5,101
20240104,EHL,84.7,86.7,83.9,85.3,778392
20240104,EIL,36.7,36.9,35.7,36.7,661790
20240104,EMERALDOIL,69.5,74.5,68.5,73.3,1222319
20240104,ETL,11.7,12,11.5,11.7,2952900
20240104,EXIM1STMF,5.8,5.8,5.8,5.8,50
20240104,EXIMBANK,10.4,10.4,10.4,10.4,1047
20240104,FAMILYTEX,4.9,4.9,4.9,4.9,130
20240104,FARCHEM,28.2,28.2,28.2,28.2,1650
20240104,FAREASTLIF,75,75,75,75,4
20240104,FASFIN,5.4,5.4,5.4,5.4,2615
20240104,FBFIF,5,5,5,5,138744
20240104,FEDERALINS,24.7,25.3,24.6,25.2,230678
20240104,FEKDIL,17.2,17.2,17.2,17.2,206
20240104,FINEFOODS,134.8,134.8,132,133,179945
20240104,FIRSTFIN,5.5,5.5,5.5,5.5,2480
20240104,FIRSTSBANK,8.9,8.9,8.9,8.9,4410
20240104,FUWANGCER,18.3,18.4,17.9,18.2,1255987
20240104,FUWANGFOOD,25.3,27.3,25.1,26.9,1845700
20240104,GBBPOWER,15.1,15.1,15.1,15.1,3203
20240104,GEMINISEA,331,331,327,327.6,44125
20240104,GENEXIL,66,66.4,65.5,65.8,171245
20240104,GENNEXT,6.1,6.1,6,6,1199794
20240104,GHAIL,17.5,17.5,17.5,17.5,2001
20240104,GIB,8.6,8.6,8.6,8.6,46104
20240104,GLDNJMF,13.6,14.6,13.3,13.8,3432418
20240104,GLOBALINS,32.9,33.9,32.8,33.7,133347
20240104,GP,286.6,286.6,286.6,286.6,666
20240104,GPHISPAT,42.7,42.7,42.7,42.7,333
20240104,GQBALLPEN,130,130.9,126.8,127.1,101159
20240104,GRAMEENS2,15.2,15.2,15.2,15.2,1200
20240104,GREENDELMF,6.9,6.9,6.9,6.9,560
20240104,GREENDELT,68,68,65.1,65.9,109581
20240104,HAKKANIPUL,59.5,59.8,58,59.5,68971
20240104,HEIDELBCEM,230.1,235,230.1,230.8,4848
20240104,HFL,17.5,17.5,17.5,17.5,1650
20240104,HWAWELLTEX,48.6,49.7,48.5,49.1,3711
20240104,IBNSINA,286.6,286.6,286.6,286.6,64
20240104,IBP,17.5,17.7,17.1,17.3,664831
20240104,ICB3RDNRB,6.5,6.7,6.5,6.5,1247262
20240104,ICBAGRANI1,9.2,9.2,9.2,9.2,68071
20240104,ICBAMCL2ND,8.7,8.9,8.7,8.7,313505
20240104,ICBEPMF1S1,7.1,7.9,7.1,7.4,254336
20240104,ICBSONALI1,8.1,8.4,7.9,8,598495
20240104,ICICL,31.2,31.9,30.9,31.6,336292
20240104,IDLC,46.5,46.5,46.5,46.5,1592
20240104,IFADAUTOS,44.1,44.1,44.1,44.1,101
20240104,IFIC,11.2,11.2,11.2,11.2,31001
20240104,IFIC1STMF,5.1,5.1,5.1,5.1,1141
20240104,IFILISLMF1,7.6,8.1,7.2,7.5,7399414
20240104,ILFSL,5.6,5.6,5.6,5.6,21504
20240104,IMAMBUTTON,173.8,173.8,168.2,169,15200
20240104,INTECH,24.7,24.7,24.3,24.4,78698
20240104,INTRACO,40.1,40.7,39.5,40.3,2321293
20240104,ISLAMIBANK,32.6,32.6,32.6,32.6,84
20240104,ISLAMICFIN,19.7,19.7,19.7,19.7,14
20240104,ISLAMIINS,46.4,46.5,45.6,46.4,51615
20240104,ISNLTD,52.2,52.2,51,51.1,66224
20240104,ITC,36.8,36.9,36.6,36.7,328199
20240104,JAMUNABANK,20.9,21,20.9,20.9,542696
20240104,JAMUNAOIL,168,168.3,167.8,168,19150
20240104,JANATAINS,33.1,34.3,33,34,329589
20240104,JHRML,70.3,70.3,70.3,70.3,3394
