,#,DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
0,1,2011-12-29,1JANATAMF,9,9,8.6,8.6,8.9,8.8,305,12.2408,"1,364,500"
1,2,2011-12-28,1JANATAMF,8.9,8.9,8.5,8.6,8.8,8.8,310,12.2788,"1,388,000"
2,3,2011-12-27,1JANATAMF,8.7,8.9,8.7,8.8,8.8,8.9,258,8.1166,"916,000"
3,4,2011-12-26,1JANATAMF,9,9.1,8.6,8.7,8.9,8.9,433,7.4759,"838,500"
4,5,2011-12-22,1JANATAMF,8.8,9.3,8.5,9,8.9,8.7,446,18.1195,"2,034,500"
5,6,2011-12-21,1JANATAMF,8.8,9,8.2,8.2,8.7,8.4,625,15.0153,"1,719,500"
6,7,2011-12-20,1JANATAMF,8.6,8.6,7.9,8.2,8.4,8.3,457,15.4647,"1,841,500"
7,8,2011-12-19,1JANATAMF,8.4,8.5,7.7,8.1,8.3,8,530,13.9694,"1,704,000"
8,9,2011-12-18,1JANATAMF,8.1,8.2,7.4,7.5,8,7.8,447,12.7333,"1,604,000"
9,10,2011-12-15,1JANATAMF,7.9,7.9,7.3,7.4,7.8,7.3,634,12.9558,"1,689,000"
10,11,2011-12-14,1JANATAMF,7.5,7.5,7.1,7.1,7.3,7.1,358,6.4678,"884,000"
11,12,2011-12-13,1JANATAMF,7.2,7.2,6.9,7,7.1,7,82,0.9691,"136,500"
12,13,2011-12-12,1JANATAMF,7.1,7.1,6.9,6.9,7,6.9,56,0.5566,"79,500"
13,14,2011-12-11,1JANATAMF,7,7,6.9,7,6.9,7,76,0.7499,"107,500"
14,15,2011-12-08,1JANATAMF,7,7.2,7,7.1,7,7.1,60,0.4724,"66,500"
15,16,2011-12-07,1JANATAMF,7.1,7.2,7,7.1,7.1,7.1,94,1.2983,"184,000"
16,17,2011-12-05,1JANATAMF,7.2,7.2,7.1,7.2,7.1,7.2,91,1.1012,"154,500"
17,18,2011-12-29,1STBSRS,91,92,91,92,91.5,92.4,39,2.4704,"27,000"
18,19,2011-12-28,1STBSRS,91.5,93.5,91.5,93.5,92.4,92.8,12,0.8323,"9,000"
19,20,2011-12-27,1STBSRS,93,93.1,90.5,92,92.8,91.4,30,1.9475,"21,000"
20,21,2011-12-26,1STBSRS,91.3,93,91.3,93,91.4,90.2,28,1.8849,"20,500"
21,22,2011-12-22,1STBSRS,91.2,94.6,89.6,93.1,90.2,93.8,43,2.1406,"23,500"
22,23,2011-12-21,1STBSRS,94.5,94.9,91,91,93.8,89.6,28,1.3523,"14,500"
23,24,2011-12-20,1STBSRS,89,91,88.4,90,89.6,89.8,33,1.6521,"18,500"
24,25,2011-12-19,1STBSRS,88.5,91.1,88.5,91.1,89.8,89.3,6,0.2696,"3,000"
