,date,account_value
0,2021-01-03,2000000.0
1,2021-01-04,1998223.5754500001
2,2021-01-05,1984320.1326000004
3,2021-01-06,1984452.7125500003
4,2021-01-07,1975351.8356000006
5,2021-01-10,1990319.9069500004
6,2021-01-11,2024794.0879500003
7,2021-01-12,2065447.6448500005
8,2021-01-13,2070170.0704500005
9,2021-01-14,2128064.6278500007
10,2021-01-17,2150984.2156000007
11,2021-01-18,2120678.2156000007
12,2021-01-19,2131470.415600001
13,2021-01-20,2126182.1156000006
14,2021-01-21,2130169.3156000003
15,2021-01-24,2130501.5156000005
16,2021-01-25,2137992.0156000005
17,2021-01-26,2160922.2156000007
18,2021-01-27,2197897.315600001
19,2021-01-28,2209541.4156000004
20,2021-01-31,2175891.7156000007
21,2021-02-01,2130796.8156000003
22,2021-02-02,2125261.2156000007
23,2021-02-03,2177741.2156000007
24,2021-02-04,2236856.6156000006
25,2021-02-07,2164427.915600001
26,2021-02-08,2097560.8156000003
27,2021-02-09,2116569.7156000007
28,2021-02-10,2131563.115600001
29,2021-02-11,2223452.8156000013
30,2021-02-14,2171194.7156000007
31,2021-02-15,2166867.115600001
32,2021-02-16,2199073.1156000006
33,2021-02-17,2185076.2156000007
34,2021-02-18,2174517.0156000005
35,2021-02-22,2130558.0156000005
36,2021-02-23,2103740.7156000007
37,2021-02-24,2125068.1156000006
38,2021-02-25,2133511.0156000005
39,2021-02-28,2135311.915600001
40,2021-03-01,2141331.2156000007
41,2021-03-02,2159374.5156000005
42,2021-03-03,2155879.915600001
43,2021-03-04,1654942.9156000004
44,2021-03-07,1684395.1156000004
45,2021-03-08,1692011.2156000005
46,2021-03-09,1692514.4156000004
47,2021-03-10,1685124.4156000004
48,2021-03-11,1685074.7156000005
49,2021-03-14,1672519.7156000005
50,2021-03-15,1673041.8156000006
51,2021-03-16,1666475.4156000006
52,2021-03-18,1649811.3156000006
53,2021-03-21,1630937.4156000004
54,2021-03-22,1654173.4156000004
55,2021-03-23,1648444.4156000006
56,2021-03-24,1635827.7156000005
57,2021-03-25,1634133.8156000006
58,2021-03-28,1634335.7156000005
59,2021-03-29,1636509.5156000003
60,2021-03-31,1622563.7156000002
61,2021-04-01,1617602.7156000002
62,2021-04-04,1588056.5156000005
63,2021-04-05,1603786.7156000005
64,2021-04-06,1624398.1156000004
65,2021-04-07,1626250.5156000003
66,2021-04-08,1637233.5156000005
67,2021-04-11,1623088.7156000005
68,2021-04-12,1619603.7156000005
69,2021-04-13,1632733.2156000002
70,2021-04-15,1641735.9156000004
71,2021-04-18,1642043.6156000004
72,2021-04-19,1643859.7156000002
73,2021-04-20,1652609.5156000005
74,2021-04-21,1660745.6156000004
75,2021-04-22,1662337.5156000005
76,2021-04-25,1705035.0156000003
77,2021-04-26,1725101.3156000006
78,2021-04-27,1696989.5156000005
79,2021-04-28,1683598.4156000004
80,2021-04-29,1678751.0156000007
81,2021-05-02,1677795.4156000004
82,2021-05-03,1673192.4156000004
83,2021-05-04,1690406.6156000004
84,2021-05-05,1683985.7156000005
85,2021-05-06,1697777.1156000004
86,2021-05-09,1716544.7156000005
87,2021-05-11,1724159.7156000005
88,2021-05-12,1717157.4156000004
89,2021-05-16,1716883.8156000006
90,2021-05-17,1728528.3156000003
91,2021-05-18,1742791.4156000004
92,2021-05-19,1736585.2156000005
93,2021-05-20,1725762.9156000004
94,2021-05-23,1716241.1156000006
95,2021-05-24,1717982.6156000004
96,2021-05-25,1707091.5156000005
97,2021-05-27,1707098.7156000005
98,2021-05-30,1712394.3156000006
99,2021-05-31,1704078.5156000003
100,2021-06-01,1705534.5156000003
101,2021-06-02,1701249.7156000007
102,2021-06-03,1701354.9156000006
