date,account_value
2021-01-03,1000000.0
2021-01-04,1005548.8880123289
2021-01-05,1020034.1436229307
2021-01-06,1027039.5444621883
2021-01-07,1028920.1707672273
2021-01-10,1025966.1748337536
2021-01-11,1027951.3593602743
2021-01-12,1027679.430438152
2021-01-13,1025398.0837799568
2021-01-14,1019533.1947150666
2021-01-17,1023379.812844661
2021-01-18,1031911.5181543574
2021-01-19,1031502.2030895469
2021-01-20,1025578.7665903784
2021-01-21,1024355.215684612
2021-01-24,1023595.520720622
2021-01-25,1002623.067223828
2021-01-26,1012555.2581799683
2021-01-27,992017.193042135
2021-01-28,999603.6093136172
2021-01-31,1015338.5230744098
2021-02-01,1016533.5757257425
2021-02-02,1027526.858150811
2021-02-03,1030583.4090271097
2021-02-04,1038442.077330175
2021-02-07,1038113.5396305386
2021-02-08,1040163.9276462278
2021-02-09,1039928.9624464089
2021-02-10,1040845.4947426213
2021-02-11,1042974.5922229363
2021-02-14,1045961.2868338324
2021-02-15,1042001.515771102
2021-02-16,1042033.9559609559
2021-02-17,1042939.5025355046
2021-02-18,1043457.6408666779
2021-02-22,1057503.1445012714
2021-02-23,1038979.7314727742
2021-02-24,1023441.0097765167
2021-02-25,1043396.7670442825
2021-02-28,1038632.6472900939
2021-03-01,1034614.9750120068
2021-03-02,1023168.7577449337
2021-03-03,1042099.4825595852
2021-03-04,1052228.511799182
2021-03-07,1053231.055833832
2021-03-08,1068592.3904361667
2021-03-09,1074831.5048784357
2021-03-10,1084527.5028188068
2021-03-11,1090311.679140415
2021-03-14,1086092.774290206
2021-03-15,1092360.063877448
2021-03-16,1087295.5169467037
2021-03-18,1079542.3761935018
2021-03-21,1082957.8370587423
2021-03-22,1072765.6076086333
2021-03-23,1072663.3757752688
2021-03-24,1079261.464828372
2021-03-25,1094262.7908695987
2021-03-28,1097521.5436464015
2021-03-29,1094066.9865364165
2021-03-31,1091241.071193163
2021-04-01,1096920.6892932898
2021-04-04,1109294.3599563465
2021-04-05,1106086.5292305497
2021-04-06,1106616.6872336608
2021-04-07,1108512.8227928134
2021-04-08,1118340.5201493644
2021-04-11,1116514.0469899382
2021-04-12,1114259.9061483336
2021-04-13,1116034.035575127
2021-04-15,1126128.6213462136
2021-04-18,1131577.4100476187
2021-04-19,1127506.3600866245
2021-04-20,1119025.3829622571
2021-04-21,1129480.946622834
2021-04-22,1118846.6388086
2021-04-25,1126376.7694120286
2021-04-26,1124328.1261874272
2021-04-27,1124439.275841907
2021-04-28,1118994.8814291675
2021-04-29,1126934.9733163284
2021-05-02,1120797.1860009336
2021-05-03,1128684.28793654
2021-05-04,1129339.4246790488
2021-05-05,1132559.0165892153
2021-05-06,1143086.8275252038
2021-05-09,1150671.2405180298
2021-05-11,1149515.154867657
2021-05-12,1133843.441317377
2021-05-16,1111295.0537369805
2021-05-17,1125647.5759811285
2021-05-18,1137581.1715587163
2021-05-19,1135783.2612756155
2021-05-20,1126944.9250877176
2021-05-23,1121498.2042868612
2021-05-24,1127722.0679625855
2021-05-25,1131814.5723917698
2021-05-27,1137973.2972002176
2021-05-30,1135276.108666106
2021-05-31,1135626.4885652855
2021-06-01,1140311.1880140349
2021-06-02,1142455.4716390024
2021-06-03,1143972.793666434
2021-06-06,1144802.2802739348
2021-06-07,1144030.0486628697
2021-06-08,1149964.1477742412
2021-06-09,1145790.2197609611
2021-06-10,1144783.7984127828
2021-06-13,1139732.1758604664
2021-06-14,1140364.0487218047
2021-06-15,1140806.1917078223
2021-06-16,1137965.6718169453
2021-06-17,1134841.591063361
2021-06-20,1126051.9797821364
2021-06-21,1119096.4670436105
2021-06-22,1101449.1330068463
2021-06-23,1120867.2361320127
2021-06-24,1123137.2739590835
2021-06-27,1120776.894726802
2021-06-28,1131449.9756763198
2021-06-29,1139292.1007749974
2021-06-30,1134310.2698661913
2021-07-05,1134608.693764091
2021-07-06,1141564.2065026166
2021-07-07,1145899.172271108
2021-07-08,1150955.4475996585
2021-07-12,1144041.0343845333
2021-07-13,1147495.8499820868
2021-07-14,1138898.0364767318
2021-07-15,1153728.3729913577
2021-07-18,1157897.9067159723
2021-07-19,1154344.736598583
2021-07-25,1155815.1431323213
2021-07-26,1157594.8300418388
2021-07-27,1147696.4363352873
2021-07-28,1123681.9072660338
2021-07-29,1141877.7519232768
2021-08-02,1151340.8525643775
2021-08-03,1152179.6447243462
2021-08-05,1160060.801445876
2021-08-09,1162798.9602596043
2021-08-10,1159960.5082692758
2021-08-11,1155739.018543381
2021-08-12,1160821.1426287876
2021-08-16,1155889.1998207131
2021-08-17,1152669.6079105467
2021-08-18,1161875.5134209332
2021-08-19,1151164.5640426215
2021-08-22,1160150.1089008127
2021-08-23,1164923.2110980086
2021-08-24,1161394.209568279
2021-08-25,1166781.3489845833
2021-08-26,1174070.181442764
2021-08-29,1174562.6002608656
2021-08-31,1175076.3443033735
2021-09-01,1178716.4954875826
2021-09-02,1169382.2508994073
2021-09-05,1156723.7269358004
2021-09-06,1154521.1543641232
2021-09-07,1161997.2610657236
2021-09-08,1169131.7764454754
2021-09-09,1170142.592082319
2021-09-12,1171440.8458953984
2021-09-13,1165075.7187634576
2021-09-14,1173105.118105555
2021-09-15,1171253.5716519784
2021-09-16,1169959.5828837804
2021-09-19,1168364.8438295657
2021-09-20,1172708.7274191724
2021-09-21,1170236.1645821368
2021-09-22,1161332.948014531
2021-09-23,1159052.3121971495
2021-09-26,1154033.3883222553
2021-09-27,1145045.1293445944
2021-09-28,1153710.795836696
2021-09-29,1144047.6258175317
2021-09-30,1151883.159483211
2021-10-03,1149796.3893422473
2021-10-04,1144289.440937917
2021-10-05,1123960.8153525074
2021-10-06,1122285.6866644712
2021-10-07,1133484.7898160035
2021-10-10,1150243.0558607143
2021-10-11,1151340.8525643775
2021-10-12,1153702.2657469334
2021-10-13,1134863.4332629042
2021-10-14,1137865.378640345
2021-10-17,1119773.833717015
2021-10-18,1135739.3183889608
2021-10-19,1125034.5727122945
2021-10-21,1135349.2606480075
2021-10-24,1138734.5430896191
2021-10-25,1149916.1983302736
2021-10-26,1149628.6309102536
2021-10-27,1141350.6957709882
2021-10-28,1137455.805087966
2021-10-31,1137438.227933304
2021-11-01,1155131.1850259185
2021-11-02,1167776.913854882
2021-11-03,1166580.7626313826
2021-11-04,1173155.0062062866
2021-11-07,1178185.1742904128
2021-11-08,1177977.9965042141
2021-11-09,1180424.4520968252
2021-11-10,1182546.2473033282
2021-11-11,1183066.7120226186
2021-11-14,1174259.523586732
2021-11-15,1182193.2825284633
2021-11-16,1185140.5577851543
2021-11-17,1188259.9857625046
2021-11-18,1192852.0174179263
2021-11-21,1196324.4101701418
2021-11-22,1195221.0559837546
2021-11-23,1201961.3778214564
2021-11-24,1205411.2821552071
2021-11-25,1201697.7205015281
2021-11-28,1193755.6899576029
2021-11-29,1188504.51500236
2021-11-30,1194429.5670488318
2021-12-01,1194004.0965109866
2021-12-02,1195816.223610358
2021-12-05,1188829.4338760367
2021-12-06,1186840.8890111248
2021-12-07,1177941.679000832
2021-12-08,1178513.0657711278
2021-12-09,1184950.0524471276
2021-12-12,1184638.3164394475
2021-12-13,1154693.8240599195
2021-12-14,1162522.1200736794
2021-12-15,1140942.414656452
2021-12-19,1125667.0917925544
2021-12-20,1146106.2208135223
2021-12-21,1144130.6003270384
2021-12-22,1165535.955879274
2021-12-23,1181827.651862739
2021-12-26,1182996.2741601868
2021-12-27,1182994.3355034227
2021-12-28,1190150.8223265018
2021-12-29,1179561.8790805493
2021-12-30,1176029.2587248601
2022-01-02,1188709.6248880103
2022-01-03,1187724.011789101
2022-01-04,1170115.4508876204
2022-01-05,1155779.7303354288
2022-01-06,1174325.9548918514
2022-01-09,1182967.8405276455
2022-01-10,1189474.8773347244
2022-01-11,1201115.3480095682
2022-01-12,1204286.0857692773
2022-01-13,1207277.691643976
2022-01-16,1204281.6914806117
2022-01-17,1202303.873849795
2022-01-18,1210468.2037026794
2022-01-19,1217568.2109920287
2022-01-20,1204580.503109864
2022-01-23,1198934.617637434
2022-01-24,1198775.518538987
2022-01-25,1193389.413072957
2022-01-26,1199449.1371426475
2022-01-27,1200716.3724474998
2022-01-30,1194870.0298656537
2022-01-31,1188192.7789946797
2022-02-01,1170215.6148204363
2022-02-02,1158972.1810508966
2022-02-03,1148607.605014452
2022-02-06,1133718.0748466265
2022-02-07,1136997.8943602666
2022-02-08,1134788.730355591
2022-02-09,1130499.38764295
2022-02-10,1130257.5725225648
2022-02-13,1148941.053977891
2022-02-14,1162387.060319108
2022-02-15,1171432.1865618518
2022-02-16,1178846.514734567
2022-02-17,1161702.1975062154
2022-02-20,1160993.424593231
2022-02-22,1161039.4353804344
2022-02-23,1173336.076748061
2022-02-24,1183436.6077332243
2022-02-27,1166017.6474632807
2022-02-28,1149357.6066946213
2022-03-01,1143670.4924550063
2022-03-02,1157655.0576453125
2022-03-03,1155849.5219789394
2022-03-06,1135261.8918498352
2022-03-07,1127557.669868983
2022-03-08,1111591.151246763
