,date,account_value
0,2021-01-03,1000000.0
1,2021-01-04,1005548.8880123289
2,2021-01-05,1020034.1436229307
3,2021-01-06,1027039.5444621883
4,2021-01-07,1028920.1707672273
5,2021-01-10,1025966.1748337536
6,2021-01-11,1027951.3593602743
7,2021-01-12,1027679.430438152
8,2021-01-13,1025398.0837799568
9,2021-01-14,1019533.1947150666
10,2021-01-17,1023379.812844661
11,2021-01-18,1031911.5181543574
12,2021-01-19,1031502.2030895469
13,2021-01-20,1025578.7665903784
14,2021-01-21,1024355.215684612
15,2021-01-24,1023595.520720622
16,2021-01-25,1002623.067223828
17,2021-01-26,1012555.2581799683
18,2021-01-27,992017.193042135
19,2021-01-28,999603.6093136172
20,2021-01-31,1015338.5230744098
21,2021-02-01,1016533.5757257425
22,2021-02-02,1027526.858150811
23,2021-02-03,1030583.4090271097
24,2021-02-04,1038442.077330175
25,2021-02-07,1038113.5396305386
26,2021-02-08,1040163.9276462278
27,2021-02-09,1039928.9624464089
28,2021-02-10,1040845.4947426213
29,2021-02-11,1042974.5922229363
30,2021-02-14,1045961.2868338324
31,2021-02-15,1042001.515771102
32,2021-02-16,1042033.9559609559
33,2021-02-17,1042939.5025355046
34,2021-02-18,1043457.6408666779
35,2021-02-22,1057503.1445012714
36,2021-02-23,1038979.7314727742
37,2021-02-24,1023441.0097765167
38,2021-02-25,1043396.7670442825
39,2021-02-28,1038632.6472900939
40,2021-03-01,1034614.9750120068
41,2021-03-02,1023168.7577449337
42,2021-03-03,1042099.4825595852
43,2021-03-04,1052228.511799182
44,2021-03-07,1053231.055833832
45,2021-03-08,1068592.3904361667
46,2021-03-09,1074831.5048784357
47,2021-03-10,1084527.5028188068
48,2021-03-11,1090311.679140415
49,2021-03-14,1086092.774290206
50,2021-03-15,1092360.063877448
51,2021-03-16,1087295.5169467037
52,2021-03-18,1079542.3761935018
53,2021-03-21,1082957.8370587423
54,2021-03-22,1072765.6076086333
55,2021-03-23,1072663.3757752688
56,2021-03-24,1079261.464828372
57,2021-03-25,1094262.7908695987
58,2021-03-28,1097521.5436464015
59,2021-03-29,1094066.9865364165
60,2021-03-31,1091241.071193163
61,2021-04-01,1096920.6892932898
62,2021-04-04,1109294.3599563465
63,2021-04-05,1106086.5292305497
64,2021-04-06,1106616.6872336608
65,2021-04-07,1108512.8227928134
66,2021-04-08,1118340.5201493644
67,2021-04-11,1116514.0469899382
68,2021-04-12,1114259.9061483336
69,2021-04-13,1116034.035575127
70,2021-04-15,1126128.6213462136
71,2021-04-18,1131577.4100476187
72,2021-04-19,1127506.3600866245
73,2021-04-20,1119025.3829622571
74,2021-04-21,1129480.946622834
75,2021-04-22,1118846.6388086
76,2021-04-25,1126376.7694120286
77,2021-04-26,1124328.1261874272
78,2021-04-27,1124439.275841907
79,2021-04-28,1118994.8814291675
80,2021-04-29,1126934.9733163284
81,2021-05-02,1120797.1860009336
82,2021-05-03,1128684.28793654
83,2021-05-04,1129339.4246790488
84,2021-05-05,1132559.0165892153
85,2021-05-06,1143086.8275252038
86,2021-05-09,1150671.2405180298
87,2021-05-11,1149515.154867657
88,2021-05-12,1133843.441317377
89,2021-05-16,1111295.0537369805
90,2021-05-17,1125647.5759811285
91,2021-05-18,1137581.1715587163
92,2021-05-19,1135783.2612756155
93,2021-05-20,1126944.9250877176
94,2021-05-23,1121498.2042868612
95,2021-05-24,1127722.0679625855
96,2021-05-25,1131814.5723917698
97,2021-05-27,1137973.2972002176
98,2021-05-30,1135276.108666106
99,2021-05-31,1135626.4885652855
100,2021-06-01,1140311.1880140349
101,2021-06-02,1142455.4716390024
102,2021-06-03,1143972.793666434
103,2021-06-06,1144802.2802739348
104,2021-06-07,1144030.0486628697
105,2021-06-08,1149964.1477742412
106,2021-06-09,1145790.2197609611
107,2021-06-10,1144783.7984127828
108,2021-06-13,1139732.1758604664
109,2021-06-14,1140364.0487218047
110,2021-06-15,1140806.1917078223
111,2021-06-16,1137965.6718169453
112,2021-06-17,1134841.591063361
113,2021-06-20,1126051.9797821364
114,2021-06-21,1119096.4670436105
