date,a2c,ddpg,td3,ppo,sac,mvo
2021-01-03,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2052308.8272546185
2021-01-04,1999835.4997999999,2000075.5899999999,1998656.9999999998,2000309.7612500002,2000515.0688000002,2055495.6774411341
2021-01-05,1993300.07345,1977654.8018499997,1997764.5550000002,1999985.2575500004,1997582.5470499997,2028294.5332479388
2021-01-06,1987929.0267500004,1968356.9018499998,1989582.2750000004,1999214.1969000003,1994802.2418499996,2011101.7083762516
2021-01-07,1974181.8393500005,1961942.30185,1973831.3200000003,1997252.8440500007,1990478.2891000002,2011702.0397146724
2021-01-10,1983967.7998000006,1984053.6018499997,1973085.6035500003,1998896.4217000008,1995562.1687,2033757.138024319
2021-01-11,2009912.3998000005,1993608.9018499998,2001847.5432500003,1999753.9419000007,2002232.63345,2044642.2780131039
2021-01-12,2026494.1998000005,2008007.2018499998,2039086.1801000002,2000447.3956000004,2010215.5368999997,2072044.9086198057
2021-01-13,2059851.6998000005,2031950.30185,2028961.9363000002,2006166.3981000003,2036166.86545,2098511.890113681
2021-01-14,2088458.9998000003,2058504.30185,2081754.7414000004,2010558.2589000002,2062576.0679000001,2143921.528081302
2021-01-17,2063914.5998000004,2051905.50185,2110165.0414,2004229.6817000005,2051321.6993999998,2163004.4399475018
2021-01-18,2063655.7998000004,2041261.7018499998,2085385.1414000005,2007530.1974000004,2047670.1901499997,2143112.6251907386
2021-01-19,2044924.9998000003,2024525.6018499997,2077707.9414000004,1999009.3647000003,2030664.7437499994,2131172.763253962
2021-01-20,2033059.0998000004,2017638.1018499997,2064116.3414000003,1997220.1834999998,2024973.0030499995,2122551.388316183
2021-01-21,2038747.7998000006,2023415.80185,2057756.2414000004,1997159.3701499999,2030466.0786499996,2126057.450577705
2021-01-24,2034518.4998000003,2020049.4018499998,2054206.9414000004,1994927.3604499998,2027716.8439999998,2124624.0961565394
2021-01-25,2041089.3998000002,2026258.4018499998,2045412.1414000003,1995290.42735,2026369.3801499994,2125663.2674379144
2021-01-26,2035794.6998000003,2038600.1018499997,2030265.7414000002,1995167.28115,2050236.5167499993,2151722.953778931
2021-01-27,2044810.4998000003,2054199.6018499997,2037089.5414000002,1996402.14035,2074758.2167499994,2185033.23089109
2021-01-28,2055846.8998000002,2059236.7018499998,2037403.0414000002,2000222.1648999997,2085344.0167499995,2188915.3375483197
2021-01-31,2051688.0998000004,2052365.30185,2019315.1414000003,1999876.0903499997,2074911.9167499996,2172516.7167002466
2021-02-01,2032444.8998000002,2024108.7018499998,1998113.1414000003,1996023.6256,2045301.3167499998,2131751.0148513746
2021-02-02,2029911.2998000004,2030403.5018499997,1995591.1414000003,1996296.85125,2050582.4167499996,2145915.1235719505
2021-02-03,2041652.4998000003,2048779.1018499997,1999382.4414000004,1999923.3709500004,2075511.8167499995,2178640.0387395704
2021-02-04,2093635.2998000004,2097679.90185,2018897.8414000005,2025483.7122000004,2144386.8167499998,2238145.9827642264
2021-02-07,2075812.0998000007,2074429.6018499997,1995144.8414000003,2024956.8265000004,2119898.1167499996,2200024.687420983
2021-02-08,2027765.4998000006,2027142.40185,1963013.3414000003,2002043.25115,2060672.1440999995,2139174.165887315
2021-02-09,2040419.8998000002,2036463.2018499998,2006175.3414000003,2006543.51255,2066263.7573999995,2154913.508993931
2021-02-10,2053731.6998000005,2047411.40185,2025866.1414000003,2014951.0900499998,2088202.7573999995,2174206.001506271
2021-02-11,2118473.8998000002,2117354.80185,2013925.0414000002,2048187.81865,2183410.557399999,2256456.2552362024
2021-02-14,2157166.6998000005,2126565.1018499997,2049399.8414000003,2082688.6814000001,2230477.1573999994,2260480.526990538
2021-02-15,2170015.4998000003,2126476.0018499997,2065036.0414000002,2092191.3758999999,2229490.7574,2250688.5191155234
2021-02-16,2147266.0998000004,2114450.80185,2061603.4414000006,2068005.1179000004,2218161.0573999994,2255689.2624919694
2021-02-17,2131067.6998000005,2102532.5018499997,2032799.2414000002,2063173.6338499999,2201193.157399999,2235757.0244257934
2021-02-18,2132955.2998000006,2099416.90185,2015194.3414000005,2056028.8223000006,2196638.3573999996,2221517.581860005
2021-02-22,2136194.6998000005,2095276.30185,1997343.8414000003,2063750.2163000002,2199258.157399999,2204468.928432806
2021-02-23,2155382.4998000003,2104522.40185,1985221.8414000005,2086966.2019499997,2218886.6573999994,2202894.106297437
2021-02-24,2155896.2998000006,2106326.5018499997,2000635.0414000002,2082892.16725,2218948.1573999994,2210600.861600122
2021-02-25,2149277.0998000004,2104403.30185,2002148.6414000003,2071409.4863999998,2205582.5573999994,2206931.9475647784
2021-02-28,2171615.4998000003,2121331.6018499997,1997958.9414000004,2094752.8558000003,2235451.3573999996,2221053.4500366077
2021-03-01,2153004.0998000004,2107833.5018499997,1994653.5414000002,2073006.6276500002,2212439.1573999994,2209280.3737684498
2021-03-02,2136256.8998000002,2098777.50185,2010720.5414000005,2054133.6691000005,2191782.6573999994,2207240.2023776593
2021-03-03,2120098.7998000006,2090028.90185,2006600.9414000004,2036864.93805,2172254.9573999997,2200715.2828655737
2021-03-04,2032444.8998000005,1896352.7018499998,2007222.3414000003,2040132.0106,1938944.8573999996,1869532.4643812985
2021-03-07,2087528.6998000005,1941123.30185,2061973.2414000004,2089995.04525,2018539.6776499995,1931105.2429643674
2021-03-08,2075676.7998000006,1934084.80185,2101561.5414000005,2076855.6171499998,2010093.6751999995,1940862.333408019
2021-03-09,2085085.9998000003,1934735.90185,2146416.2414,2087149.8334000001,2038731.7684,1956764.3411517856
2021-03-10,2095369.4998000006,1951217.1018499997,2207184.6414,2094441.7388000002,2068771.8726499996,1994073.0283966458
2021-03-11,2074608.0998000004,1934092.5018499997,2151163.0414,2071019.568,2024077.0782499993,1955624.1939318029
2021-03-14,2061139.0998000004,1919571.7018499998,2126694.9414,2064784.1721499995,2011367.4469999995,1936414.4046092452
2021-03-15,2064783.6998000005,1920195.7018499998,2123917.4414,2067712.0956,2011286.8756999995,1932198.890463633
2021-03-16,2100509.4998000003,1938352.6018499997,2125118.9414,2115349.9603999997,2049192.2603999996,1942761.475287868
2021-03-18,2065131.6998000005,1913103.90185,2111115.5414000005,2075318.81045,2006621.0803999994,1919382.701497749
2021-03-21,2021193.2998000004,1885807.7018499998,2064303.7414000004,2028430.6399499997,1957835.1105999998,1885897.8706138104
2021-03-22,2075565.4998000003,1926283.5018499997,2095719.1414,2095918.55515,2035292.5441499993,1933441.3013171488
2021-03-23,2047902.6998000005,1904967.30185,2073439.4414000004,2063466.5050000004,1993589.8441499996,1905217.3690297964
2021-03-24,2034749.8998000005,1897252.7018499998,2067197.6414000003,2052218.23765,1983352.0441499993,1900499.073682722
2021-03-25,2037901.0998000004,1897550.5018499997,2081701.1414000003,2056696.9441499999,1993916.7441499997,1906225.686771916
2021-03-28,2023663.6998000005,1889112.30185,2084494.9414000001,2039399.2090999999,1978770.8441499996,1902094.6780498675
2021-03-29,2024864.0998000004,1889376.80185,2103116.5414000005,2043034.8881,1986622.4441499996,1909247.4299005782
2021-03-31,1999194.0998000004,1871415.30185,2071210.9414000004,2014104.0330000003,1958444.4441499996,1885479.9929027124
2021-04-01,2004727.4998000003,1871695.30185,2063637.3414000003,2018203.6174499998,1962060.1441499994,1881327.5837610932
2021-04-04,1968610.2998000004,1846595.30185,1994429.1414000003,1989627.29615,1920370.0441499997,1840450.7106765623
2021-04-05,1990057.2998000004,1858736.7018499998,2014770.3414000003,2008991.3655500002,1940114.9441499994,1852252.730412139
2021-04-06,2007215.4998000003,1871871.90185,2051242.4414000004,2022943.95765,1952909.5441499997,1876120.134532406
2021-04-07,2029783.8998000005,1896284.2018499998,2092003.2414000002,2046982.1999499998,1981621.9441499994,1909328.221182417
2021-04-08,2011686.8998000005,1877013.80185,2075244.0414000002,2030883.6105,1964359.1778999995,1890628.1027675136
2021-04-11,1976205.5998000004,1850029.6018499997,2017137.0414000005,1998183.2253500002,1928410.1778999995,1851507.2970585874
2021-04-12,1979114.8998000005,1850975.6018499997,2017193.3414000005,2001943.39525,1927722.4778999996,1852158.2830749478
2021-04-13,2010080.6998000005,1868027.30185,2037383.3414000003,2036105.0611,1958225.5778999995,1868718.1418623338
2021-04-15,2018452.8998000002,1871077.40185,2041976.0414000002,2045594.91825,1962269.4778999996,1869001.1130327429
2021-04-18,2015867.4998000003,1867341.7018499998,2035174.6414000003,2043020.4263500003,1950763.0560499993,1861817.5847489266
2021-04-19,2021112.2998000004,1867074.7018499998,2036305.9414000001,2045740.2343499998,1952563.3296999994,1860043.3627435707
2021-04-20,2031544.3998000002,1875976.7018499998,2055021.2414000002,2046720.45035,1959077.9169499998,1868648.6150424737
2021-04-21,2027617.5998000004,1875549.1018499997,2060238.3414000005,2035391.96055,1951735.8711999997,1869305.8669968024
2021-04-22,2025790.7998000006,1872981.5018499997,2064217.2414000002,2033848.3913499997,1949204.6712,1868711.8809269841
2021-04-25,2049274.9998000003,1896029.1018499997,2085532.8414,2058911.86025,1973018.3711999997,1892538.617352573
2021-04-26,2034917.4998000003,1886937.90185,2089592.6414000003,2046084.5443000002,1958796.2711999998,1887769.630339032
2021-04-27,2038194.4998000006,1888625.9018499998,2078344.6414000005,2046435.4336,1961213.8711999997,1887503.5185192297
2021-04-28,2064259.4998000003,1897800.0018499997,2083648.2414000004,2073108.0284,1985001.2711999996,1892369.6799233784
2021-04-29,2048858.4998000003,1888110.7018499998,2084295.4414000004,2054910.7558499998,1965673.3711999997,1885205.0743293674
2021-05-02,2006747.5998000004,1857516.30185,2080372.4414000004,2011425.86415,1922074.9711999993,1863230.3866725848
2021-05-03,1996656.4998000003,1851711.5018499997,2069090.9414000004,1999026.2803000002,1909907.3711999995,1855717.6075869992
2021-05-04,1972599.2998000006,1840532.0018499997,2081425.8414000005,1974996.2465,1889192.4711999998,1854783.2027681535
2021-05-05,1953234.1998000005,1827591.30185,2082928.3414000005,1953540.2067500001,1867738.6711999993,1844036.8898233543
2021-05-06,1981974.3998000002,1846586.30185,2093971.4414000004,1978317.6108499998,1904337.2711999994,1860635.0364962758
2021-05-09,1993449.9998000003,1859352.50185,2112917.3414000003,1991542.6046499999,1924403.5711999997,1881033.0226771145
2021-05-11,2007543.5998000004,1870767.4018499996,2143243.8414000003,2011089.37815,1943529.0711999994,1901078.1597125253
2021-05-12,2020643.1998000005,1880389.9018499998,2136543.8414000003,2023425.9410000003,1948587.3711999995,1900793.699647306
2021-05-16,2016334.4998000003,1884880.1018499997,2122290.4414,2015097.99555,1936244.9711999996,1895971.3947337721
2021-05-17,2022833.1998000005,1888057.2018499998,2124059.8414000003,2022806.9071000002,1948980.3671999995,1900292.6342938156
2021-05-18,2029253.3998000002,1889932.7018499998,2119077.4414,2020521.6983999999,1957102.2671999997,1903452.7437101353
2021-05-19,2027196.7998000004,1885060.90185,2112867.0414000005,2019710.9771,1949293.5632999998,1896070.8486239065
2021-05-20,2014275.7998000006,1874325.7018499998,2097218.7414,2004945.65425,1938126.7632999995,1884005.362661791
2021-05-23,2006414.0998000004,1866313.6018499997,2093654.0414000002,1997958.5572000004,1931547.9632999997,1877817.2651315597
2021-05-24,2005127.7998000006,1872150.7018499998,2111139.3414000003,1999895.5143000004,1935702.7632999998,1891773.679774211
2021-05-25,2008153.0998000004,1872343.80185,2114498.3414000003,2004193.4688,1938742.9632999997,1891872.9306406695
2021-05-27,2011360.3998000002,1873280.6018499997,2122845.3414,2020733.5353,1937225.2632999995,1891107.117776825
2021-05-30,1986993.4998000003,1853424.80185,2112688.0414000005,1994266.7819500002,1896111.0632999996,1867140.8632962317
2021-05-31,1984029.1998000005,1851736.0018499997,2118299.9414,1989268.7188000001,1889854.3632999996,1867516.5012278508
2021-06-01,1993327.7998000002,1856527.6018499997,2134962.8414000003,1991164.0803999999,1899723.4632999995,1878449.7142966338
2021-06-02,1989017.3998000005,1855871.2018499998,2141046.2414,1985566.93655,1897591.0632999996,1881784.146677169
2021-06-03,1986365.8998000002,1851221.00185,2135254.9414,1983212.3991500002,1894735.8632999996,1879541.4207880718
2021-06-06,1990299.0998000004,1846062.2018499998,2139690.5414,1978764.1748000002,1890477.4632999995,1878137.688565212
2021-06-07,1996213.7998000004,1847725.2018499998,2122933.3414000003,1976749.6142,1896852.7632999995,1875262.8630294558
2021-06-08,2005047.5998000004,1847537.4018499996,2127982.9414,1980868.3607,1903710.6632999994,1877414.2244910034
2021-06-09,2004598.1998000005,1849957.6018499997,2122756.8414000003,1981294.7795500003,1898360.6632999994,1873719.034690264
2021-06-10,2000344.6998000003,1847441.2018499998,2118633.0414000005,1975587.5935,1888950.4632999995,1870860.7791989539
2021-06-13,1997337.0998000004,1843907.0018499997,2107775.6414,1973748.727,1890513.8632999996,1867578.4911983805
2021-06-14,1997855.5998000004,1843852.5018499997,2095287.0414000005,1966209.9667000002,1890993.3632999996,1860618.765909646
2021-06-15,2002088.1998000005,1845321.7018499998,2103580.5414,1968634.5349000003,1902141.8632999994,1865119.471170269
2021-06-16,2006274.1998000003,1854284.4018499996,2108513.0414000005,1969275.9962499999,1908709.7632999995,1874435.3559582173
2021-06-17,2016140.9998000003,1862616.80185,2112364.9414,1979932.8506500002,1917886.4593999998,1878963.9507458052
2021-06-20,2026567.6998000003,1874679.80185,2122779.3414000003,1988613.1474000001,1930667.3593999997,1891165.4942168558
2021-06-21,2034720.3998000007,1892554.30185,2126979.1414,1998728.65305,1939813.5593999997,1908670.279569499
2021-06-22,2033104.9998000003,1889629.80185,2123136.2413999997,1995865.55125,1940787.1593999995,1906474.0412065915
2021-06-23,2022822.0998000004,1877784.90185,2112394.7414,1988681.36285,1926681.3593999995,1894763.2466088193
2021-06-24,2027207.9998000003,1883006.2018499998,2110810.6414,1991785.1105000002,1926374.3593999995,1895213.1905088224
2021-06-27,2016448.9998000003,1872488.40185,2102089.7414,1981657.7136500003,1918267.6593999995,1887283.7658068596
2021-06-28,2029979.8998000005,1886686.40185,2111143.3414000003,1997506.12565,1933641.2593999999,1900537.0955723473
2021-06-29,2030834.9998000003,1887446.6018499997,2111212.3414000003,2000587.92875,1933550.8594,1902683.8056799024
2021-06-30,2039226.9998000003,1896164.30185,2125825.4414,2012463.1171000001,1932791.1593999995,1909646.985420923
2021-07-05,2033934.0998000004,1888007.6018499997,2114968.8414000003,2014007.4073500002,1934160.1553999998,1900462.226505673
2021-07-06,2035234.6998000005,1887664.30185,2115961.5414,2012092.0570000003,1936816.4514499998,1902229.8665946533
