time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/reward,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/std,train/loss,train/explained_variance,train/entropy_loss
1,17,113,2048,0.04389542,,,,,,,,,,,
2,36,111,4096,-0.12978633,0.017090583,0.19970703125,-0.02561897849664092,10,35.89896612763405,0.2,0.00025,1.0037788152694702,5.744760036468506,0.04902827739715576,-56.8346962928772
3,56,108,6144,0.11033445,0.014807478,0.16494140625,-0.025303390220506115,20,45.69327581524849,0.2,0.00025,1.0049362182617188,17.60764503479004,0.2276935577392578,-56.9240314245224
4,75,108,8192,-0.09169229,0.0160064,0.183544921875,-0.022723103308817372,30,48.02338419556618,0.2,0.00025,1.006888508796692,44.00804138183594,0.3090885281562805,-56.99711949825287
5,93,109,10240,-0.13203883,0.021286052,0.25380859375,-0.018439814510929863,40,34.294807690382,0.2,0.00025,1.0091418027877808,17.837247848510742,0.23898625373840332,-57.08575801849365
6,111,109,12288,-0.31885356,0.015130298,0.177880859375,-0.02445786339812912,50,40.79475714713335,0.2,0.00025,1.0110082626342773,12.32449722290039,0.32007449865341187,-57.15752115249634
7,130,109,14336,0.9546773,0.01643588,0.183837890625,-0.016720855387393384,60,58.78673139810562,0.2,0.00025,1.0128638744354248,33.583900451660156,0.4177297353744507,-57.22746410369873
8,150,109,16384,0.18758163,0.02130375,0.1427734375,-0.019377587555209175,70,90.95178122520447,0.2,0.00025,1.0141465663909912,22.708585739135742,0.31499385833740234,-57.2872887134552
9,169,108,18432,-1.8873212,0.026026629,0.226123046875,-0.019199970761837902,80,48.94166134595871,0.2,0.00025,1.0164155960083008,30.471965789794922,0.4101494550704956,-57.3550449848175
10,188,108,20480,-1.2699312,0.019412167,0.26845703125,-0.01689346414350439,90,20.60544608235359,0.2,0.00025,1.0185054540634155,7.168807029724121,0.004525721073150635,-57.451555371284485
11,206,108,22528,-0.19550587,0.017098034,0.187255859375,-0.016187907048151828,100,69.9827266216278,0.2,0.00025,1.0194497108459473,20.065662384033203,0.3940284252166748,-57.50526940822601
12,225,109,24576,-0.64596707,0.02203495,0.22763671875,-0.017595939003513195,110,69.2485971212387,0.2,0.00025,1.0215213298797607,22.417469024658203,0.4464927315711975,-57.56057574748993
13,243,109,26624,0.556323,0.023020145,0.269775390625,-0.017876008347957394,120,38.824599504470825,0.2,0.00025,1.0234158039093018,32.34054946899414,0.5964682102203369,-57.64145367145538
14,261,109,28672,0.7909558,0.03183429,0.2337890625,-0.01809709841036238,130,36.555362451076505,0.2,0.00025,1.0265681743621826,13.64404582977295,0.6212812066078186,-57.72782530784607
15,280,109,30720,0.017356375,0.025373904,0.398779296875,-0.007008577906526625,140,2.474783205240965,0.2,0.00025,1.0292447805404663,0.2849198579788208,0.4987325668334961,-57.86615607738495
16,299,109,32768,0.13068952,0.022547925,0.23623046875,-0.013361126664676704,150,30.76520103812218,0.2,0.00025,1.0329582691192627,11.7942476272583,0.6771587133407593,-57.97669522762298
17,317,109,34816,-0.001769715,0.024176177,0.2177734375,-0.013907568118884227,160,36.249050652980806,0.2,0.00025,1.0349090099334717,19.718324661254883,0.659133106470108,-58.07918884754181
18,336,109,36864,-1.2865847,0.023355946,0.23671875,-0.01834936000232119,170,76.4632865846157,0.2,0.00025,1.0381731986999512,35.019081115722656,0.5337037444114685,-58.18375494480133
19,354,109,38912,0.045630526,0.029395957,0.297021484375,-0.008524192351615056,180,42.573603531718256,0.2,0.00025,1.0433274507522583,12.088584899902344,0.5727154016494751,-58.32570405006409
20,372,109,40960,1.0888133,0.036485612,0.37119140625,-0.016004602143948433,190,1.8562459593638778,0.2,0.00025,1.049210548400879,0.7872753739356995,0.932535320520401,-58.55919337272644
21,391,109,43008,0.19374745,0.021415792,0.23330078125,-0.013228004513075575,200,112.7247072815895,0.2,0.00025,1.0508933067321777,54.05718994140625,0.4733120799064636,-58.70333893299103
22,409,109,45056,-0.43716586,0.023690924,0.23876953125,-0.017555414052912964,210,59.06584446430206,0.2,0.00025,1.0524340867996216,51.344547271728516,0.6444710195064545,-58.755069971084595
23,428,110,47104,-0.035445355,0.016035948,0.152099609375,-0.016289237422461154,220,147.84644224643708,0.2,0.00025,1.0549168586730957,85.83407592773438,0.4335501790046692,-58.83966040611267
24,446,110,49152,-0.51957875,0.03818428,0.3,-0.014505941094830633,230,17.446302711963654,0.2,0.00025,1.0552880764007568,8.21934986114502,0.2459431290626526,-58.898291277885434
25,465,110,51200,0.15714744,0.020176344,0.224365234375,-0.016512380144558848,240,63.39594030380249,0.2,0.00025,1.0568734407424927,40.856300354003906,0.6822378933429718,-58.92589952945709
